"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.8.117","66.22.238.13","UDP","1231","59318  >  50003 Len=1189"
"2","0.000073","192.168.8.117","66.22.238.13","UDP","1231","59318  >  50003 Len=1189"
"3","0.000110","192.168.8.117","66.22.238.13","UDP","1231","59318  >  50003 Len=1189"
"4","0.000130","192.168.8.117","66.22.238.13","UDP","1231","59318  >  50003 Len=1189"
"5","0.000148","192.168.8.117","66.22.238.13","UDP","1231","59318  >  50003 Len=1189"
"6","0.000167","192.168.8.117","66.22.238.13","UDP","1232","59318  >  50003 Len=1190"
"7","0.004347","66.22.238.13","192.168.8.117","UDP","106","50003  >  59318 Len=64"
"8","0.005419","66.22.238.4","192.168.8.117","UDP","304","50020  >  57430 Len=262"
"9","0.005920","192.168.8.117","66.22.238.13","UDP","1232","59318  >  50003 Len=1190"
"10","0.024362","66.22.238.4","192.168.8.117","UDP","355","50020  >  57430 Len=313"
"11","0.036135","192.168.8.117","66.22.238.13","UDP","1053","59318  >  50003 Len=1011"
"12","0.036203","192.168.8.117","66.22.238.13","UDP","1053","59318  >  50003 Len=1011"
"13","0.036226","192.168.8.117","66.22.238.13","UDP","1054","59318  >  50003 Len=1012"
"14","0.041434","66.22.238.4","192.168.8.117","UDP","341","50020  >  57430 Len=299"
"15","0.062578","192.168.8.113","224.0.0.251","MDNS","259","Standard query 0x0000 ANY LG webOS TV 09D5._hap._tcp.local, ""QM"" question ANY [LG] webOS TV UP77006LB._airplay._tcp.local, ""QM"" question ANY LGwebOSTV.local, ""QM"" question SRV 0 0 44103 LGwebOSTV.local SRV 0 0 7000 LGwebOSTV.local A 192.168.8.113 AAAA fe80::de03:98ff:fea8:2364 AAAA fd62:aef7:3066:9900:de03:98ff:fea8:2364"
"16","0.062578","fe80::de03:98ff:fea8:2364","ff02::fb","MDNS","279","Standard query 0x0000 ANY LG webOS TV 09D5._hap._tcp.local, ""QM"" question ANY [LG] webOS TV UP77006LB._airplay._tcp.local, ""QM"" question ANY LGwebOSTV.local, ""QM"" question SRV 0 0 44103 LGwebOSTV.local SRV 0 0 7000 LGwebOSTV.local A 192.168.8.113 AAAA fe80::de03:98ff:fea8:2364 AAAA fd62:aef7:3066:9900:de03:98ff:fea8:2364"
"17","0.062578","192.168.8.113","224.0.0.251","MDNS","85","Standard query response 0x0000 A, cache flush 192.168.8.113"
"18","0.064956","192.168.8.117","66.22.238.13","UDP","796","59318  >  50003 Len=754"
"19","0.065020","192.168.8.117","66.22.238.13","UDP","796","59318  >  50003 Len=754"
"20","0.066416","142.251.209.46","192.168.8.117","UDP","68","443  >  59845 Len=26"
"21","0.075009","66.22.238.4","192.168.8.117","UDP","252","50020  >  57430 Len=210"
"22","0.081363","66.22.238.4","192.168.8.117","UDP","338","50020  >  57430 Len=296"
"23","0.099528","192.168.8.117","66.22.238.13","UDP","995","59318  >  50003 Len=953"
"24","0.110553","66.22.238.4","192.168.8.117","UDP","333","50020  >  57430 Len=291"
"25","0.118030","66.22.238.13","192.168.8.117","UDP","106","50003  >  59318 Len=64"
"26","0.132924","66.22.238.4","192.168.8.117","UDP","325","50020  >  57430 Len=283"
"27","0.133061","192.168.8.117","66.22.238.13","UDP","868","59318  >  50003 Len=826"
"28","0.151002","LGInnote_a8:23:64","Broadcast","ARP","42","Who has 192.168.8.129? Tell 192.168.8.113"
"29","0.156711","66.22.238.4","192.168.8.117","UDP","325","50020  >  57430 Len=283"
"30","0.167130","192.168.8.117","66.22.238.13","UDP","712","59318  >  50003 Len=670"
"31","0.168035","192.168.8.117","66.22.238.13","RTCP","102","Sender Report   "
"32","0.173294","66.22.238.4","192.168.8.117","UDP","316","50020  >  57430 Len=274"
"33","0.189887","66.22.238.4","192.168.8.117","UDP","298","50020  >  57430 Len=256"
"34","0.199105","192.168.8.113","224.0.0.251","MDNS","321","Standard query response 0x0000 PTR, cache flush LGwebOSTV.local PTR, cache flush LGwebOSTV.local PTR, cache flush LGwebOSTV.local NSEC, cache flush 113.8.168.192.in-addr.arpa NSEC, cache flush 4.6.3.2.8.A.E.F.F.F.8.9.3.0.E.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 4.6.3.2.8.A.E.F.F.F.8.9.3.0.E.D.0.0.9.9.6.6.0.3.7.F.E.A.2.6.D.F.ip6.arpa"
"35","0.199119","192.168.8.117","66.22.238.13","UDP","665","59318  >  50003 Len=623"
"36","0.199967","fe80::de03:98ff:fea8:2364","ff02::fb","MDNS","341","Standard query response 0x0000 PTR, cache flush LGwebOSTV.local PTR, cache flush LGwebOSTV.local PTR, cache flush LGwebOSTV.local NSEC, cache flush 113.8.168.192.in-addr.arpa NSEC, cache flush 4.6.3.2.8.A.E.F.F.F.8.9.3.0.E.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 4.6.3.2.8.A.E.F.F.F.8.9.3.0.E.D.0.0.9.9.6.6.0.3.7.F.E.A.2.6.D.F.ip6.arpa"
"37","0.204318","66.22.238.4","192.168.8.117","UDP","266","50020  >  57430 Len=224"
"38","0.219888","66.22.238.13","192.168.8.117","UDP","90","50003  >  59318 Len=48"
"39","0.227720","66.22.238.4","192.168.8.117","UDP","290","50020  >  57430 Len=248"
"40","0.232076","192.168.8.117","66.22.238.13","UDP","520","59318  >  50003 Len=478"
"41","0.249113","66.22.238.4","192.168.8.117","UDP","243","50020  >  57430 Len=201"
"42","0.266142","192.168.8.117","66.22.238.13","UDP","506","59318  >  50003 Len=464"
"43","0.266273","66.22.238.4","192.168.8.117","UDP","276","50020  >  57430 Len=234"
"44","0.281393","66.22.238.4","192.168.8.117","UDP","308","50020  >  57430 Len=266"
"45","0.299282","192.168.8.117","66.22.238.13","UDP","1040","59318  >  50003 Len=998"
"46","0.299441","192.168.8.117","66.22.238.13","UDP","1040","59318  >  50003 Len=998"
"47","0.299513","192.168.8.117","66.22.238.13","UDP","1041","59318  >  50003 Len=999"
"48","0.299578","192.168.8.117","66.22.238.13","UDP","1041","59318  >  50003 Len=999"
"49","0.306117","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"50","0.315660","192.168.8.113","224.0.0.251","MDNS","885","Standard query response 0x0000 TXT, cache flush PTR _hap._tcp.local PTR LG webOS TV 09D5._hap._tcp.local SRV, cache flush 0 0 44103 LGwebOSTV.local TXT, cache flush PTR _airplay._tcp.local PTR [LG] webOS TV UP77006LB._airplay._tcp.local SRV, cache flush 0 0 7000 LGwebOSTV.local A, cache flush 192.168.8.113 AAAA, cache flush fe80::de03:98ff:fea8:2364 AAAA, cache flush fd62:aef7:3066:9900:de03:98ff:fea8:2364 NSEC, cache flush LG webOS TV 09D5._hap._tcp.local NSEC, cache flush [LG] webOS TV UP77006LB._airplay._tcp.local NSEC, cache flush LGwebOSTV.local"
"51","0.315660","fe80::de03:98ff:fea8:2364","ff02::fb","MDNS","905","Standard query response 0x0000 TXT, cache flush PTR _hap._tcp.local PTR LG webOS TV 09D5._hap._tcp.local SRV, cache flush 0 0 44103 LGwebOSTV.local TXT, cache flush PTR _airplay._tcp.local PTR [LG] webOS TV UP77006LB._airplay._tcp.local SRV, cache flush 0 0 7000 LGwebOSTV.local A, cache flush 192.168.8.113 AAAA, cache flush fe80::de03:98ff:fea8:2364 AAAA, cache flush fd62:aef7:3066:9900:de03:98ff:fea8:2364 NSEC, cache flush LG webOS TV 09D5._hap._tcp.local NSEC, cache flush [LG] webOS TV UP77006LB._airplay._tcp.local NSEC, cache flush LGwebOSTV.local"
"52","0.326342","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"53","0.328503","66.22.238.13","192.168.8.117","UDP","90","50003  >  59318 Len=48"
"54","0.333606","192.168.8.117","66.22.238.13","UDP","825","59318  >  50003 Len=783"
"55","0.333684","192.168.8.117","66.22.238.13","UDP","825","59318  >  50003 Len=783"
"56","0.342340","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"57","0.385832","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"58","0.386799","192.168.8.117","66.22.238.13","UDP","920","59318  >  50003 Len=878"
"59","0.388251","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"60","0.401858","192.168.8.117","66.22.238.13","UDP","699","59318  >  50003 Len=657"
"61","0.408937","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"62","0.424613","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"63","0.435037","192.168.8.117","66.22.238.13","UDP","556","59318  >  50003 Len=514"
"64","0.440634","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"65","0.446405","66.22.238.13","192.168.8.117","UDP","94","50003  >  59318 Len=52"
"66","0.462954","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"67","0.466817","192.168.8.117","66.22.238.13","UDP","638","59318  >  50003 Len=596"
"68","0.488988","66.22.238.4","192.168.8.117","UDP","85","50020  >  57430 Len=43"
"69","0.498161","192.168.8.117","66.22.238.13","UDP","531","59318  >  50003 Len=489"
"70","0.531114","192.168.8.117","66.22.238.13","UDP","510","59318  >  50003 Len=468"
"71","0.568842","192.168.8.117","66.22.238.13","UDP","505","59318  >  50003 Len=463"
"72","0.574374","66.22.238.13","192.168.8.117","UDP","90","50003  >  59318 Len=48"
"73","0.602595","192.168.8.117","66.22.238.13","UDP","505","59318  >  50003 Len=463"
"74","0.624401","192.168.8.117","66.22.238.13","RTCP","118","Sender Report   "
"75","0.635462","192.168.8.117","66.22.238.13","UDP","505","59318  >  50003 Len=463"
"76","0.648355","66.22.238.13","192.168.8.117","RTCP","110","Payload-specific Feedback   ALFB  "
"77","0.648355","66.22.238.13","192.168.8.117","RTCP","94","Receiver Report   "
"78","0.648355","66.22.238.13","192.168.8.117","RTCP","94","Receiver Report   "
"79","0.667758","192.168.8.117","66.22.238.13","UDP","505","59318  >  50003 Len=463"
"80","0.689446","66.22.238.13","192.168.8.117","UDP","90","50003  >  59318 Len=48"
"81","0.700334","192.168.8.117","66.22.238.13","UDP","505","59318  >  50003 Len=463"
